Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,54.849998,65.180000,54.419998,57.869999,57.162048,399609500
2021-12-01,59.250000,63.290001,53.139999,58.630001,57.912754,380185400
2022-01-01,59.869999,67.209999,49.240002,52.730000,52.084930,470897500
2022-02-01,52.849998,55.549999,43.910000,46.720001,46.148453,384992400
2022-03-01,46.020000,46.740002,39.750000,43.740002,43.204910,403087300
2022-04-01,44.160000,44.450001,37.310001,37.910000,37.446228,363967100
2022-05-01,37.669998,41.240002,34.310001,38.680000,38.206806,397427200
2022-06-01,39.009998,39.639999,30.650000,31.760000,31.371466,323802700
2022-07-01,31.280001,36.439999,30.330000,36.259998,35.816414,292472200
2022-08-01,36.060001,41.090000,35.590000,38.209999,37.742561,317943000
2022-09-01,37.810001,42.360001,32.049999,32.090000,31.769798,332839800
2022-10-01,32.459999,39.660000,31.110001,39.250000,38.858353,317684500
2022-11-01,39.919998,41.580002,37.470001,40.560001,40.155285,285035100
2022-12-01,40.770000,41.380001,32.520000,33.639999,33.304329,254852800
2023-01-01,34.020000,39.730000,33.400002,39.320000,39.014225,327651700
2023-02-01,39.450001,43.630001,38.459999,38.740002,38.438740,297974900
2023-03-01,38.680000,41.349998,32.990002,36.680000,36.394756,336046800
2023-04-01,36.380001,36.820000,31.840000,33.040001,32.859440,271634900
2023-05-01,34.000000,34.279999,31.500000,32.410000,32.232883,303495400
2023-06-01,32.490002,38.860001,32.139999,38.560001,38.349274,291773500
2023-07-01,38.740002,41.040001,37.110001,38.369999,38.266575,279486600
2023-08-01,38.040001,38.360001,32.049999,33.509998,33.419674,279967000
2023-09-01,33.590000,34.599998,31.969999,32.970001,32.970001,233754600
2023-10-01,32.840000,33.060001,27.709999,28.549999,28.549999,324627200
